seed,order,n_src_vois,dist_max_vois(m)
1,1,6,0.0189389165409976
1,2,16,0.0282085919245285
1,3,31,0.0415354860355036
1,4,51,0.0542126137285403
1,5,76,0.0718017934867008
1,6,106,0.0819051937865727
1,7,141,0.099038323589813
1,8,181,0.115855983001373
1,9,221,0.127927976158409
1,10,261,0.137393970027035
1,11,301,0.145158367454106
1,12,341,0.156027835998553
1,13,381,0.157687113816434
1,14,421,0.162981944045772
1,15,461,0.166328153273247
2,1,6,0.0180443145458087
2,2,16,0.0296178897565939
2,3,31,0.0489414495854237
2,4,51,0.0700456980203233
2,5,76,0.0780724307157821
2,6,106,0.090896527576211
2,7,141,0.106844095868557
2,8,181,0.116263615299917
2,9,221,0.127186329119777
2,10,261,0.133079974255757
2,11,301,0.140967736142982
2,12,341,0.145922012959103
2,13,381,0.152233085969198
2,14,421,0.159369742705965
2,15,461,0.162968823009262
3,1,6,0.0205050319871312
3,2,16,0.039492792555751
3,3,31,0.0591180328388114
3,4,51,0.0798684579386239
3,5,76,0.0945370717483268
3,6,106,0.110792823337569
3,7,141,0.126714654188614
3,8,181,0.140132805380988
3,9,221,0.147486762194219
3,10,261,0.156027835998553
3,11,301,0.157687113816434
3,12,341,0.162696249638063
3,13,381,0.166328153273247
3,14,421,0.166328153273247
3,15,461,0.166328153273247
4,1,6,0.0208165359355327
4,2,16,0.0402173025049418
4,3,31,0.0602284323608766
4,4,51,0.0817302530583255
4,5,76,0.0944510741507325
4,6,106,0.0951950636988261
4,7,141,0.10529843943918
4,8,181,0.115841425978203
4,9,221,0.119931570091574
4,10,261,0.124415900297263
4,11,301,0.131226836739179
4,12,341,0.133681716105109
4,13,381,0.139413015010002
4,14,421,0.139413015010002
4,15,461,0.142317802127558
5,1,6,0.0158195396481379
5,2,16,0.0312482975655151
5,3,31,0.0417178635039852
5,4,51,0.0573465202692019
5,5,76,0.0694392940908785
5,6,106,0.0802765547387563
5,7,141,0.095482124964827
5,8,181,0.109739111008741
5,9,221,0.116957945089434
5,10,261,0.130934145205906
